"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment","SMD"
"C1","6-0805_L","83.693mm","49.276mm","83.693mm","49.276mm","82.893mm","49.276mm","T","0","220nF","True"
"C2","6-0805_L","86.995mm","52.197mm","86.995mm","52.197mm","86.995mm","52.997mm","T","270","220nF","True"
"C3","6-0805_L","110.236mm","40.64mm","110.236mm","40.64mm","110.236mm","39.84mm","T","90","220nF","True"
"C4","6-0805_L","116.713mm","53.213mm","116.713mm","53.213mm","115.913mm","53.213mm","T","0","220nF","True"
"C5","6-0805_L","87.833mm","57.404mm","87.846mm","57.404mm","87.046mm","57.404mm","T","0","1nF","True"
"C6","6-0805_L","92.913mm","52.705mm","92.926mm","52.705mm","92.126mm","52.705mm","T","0","1nF","True"
"C7","6-0805_L","117.475mm","43.739mm","117.475mm","43.726mm","117.475mm","42.926mm","T","90","1nF","True"
"C8","6-0805_L","111.506mm","53.213mm","111.506mm","53.213mm","112.306mm","53.213mm","T","180","1nF","True"
"C9","6-0805_L","101.702mm","61.087mm","101.689mm","61.087mm","100.889mm","61.087mm","T","0","220nF","True"
"C10","6-0805_L","74.422mm","57.785mm","74.422mm","57.785mm","74.422mm","56.985mm","T","90","220nF","True"
"C11","6-0805_L","77.978mm","44.704mm","77.978mm","44.704mm","77.978mm","43.904mm","T","90","220nF","True"
"C12","6-0805_L","105.283mm","62.027mm","105.283mm","62.014mm","105.283mm","62.814mm","T","270","220nF","True"
"C13","6-0805_L","105.766mm","67.564mm","105.753mm","67.564mm","104.953mm","67.564mm","T","360","1nF","True"
"C14","6-0805_L","80.264mm","59.284mm","80.264mm","59.271mm","80.264mm","58.471mm","T","90","1nF","True"
"C15","6-0805_L","82.804mm","43.307mm","82.804mm","43.307mm","82.804mm","44.107mm","T","270","1nF","True"
"C16","6-0805_L","109.728mm","63.246mm","109.728mm","63.246mm","108.928mm","63.246mm","T","360","1nF","True"
"R1","6-0805_M","61.468mm","57.556mm","61.468mm","57.547mm","61.468mm","56.547mm","T","90","33","True"
"R2","6-0805_M","67.691mm","57.658mm","67.691mm","57.658mm","67.691mm","56.658mm","T","90","33","True"
"R3","6-0805_M","113.03mm","40.234mm","113.03mm","40.243mm","113.03mm","41.243mm","T","270","33","True"
"R4","6-0805_M","114.046mm","56.515mm","114.03mm","56.515mm","113.03mm","56.515mm","T","0","33","True"
"R5","6-0805_M","93.98mm","50.165mm","93.98mm","50.165mm","92.98mm","50.165mm","T","0","1K","True"
"R6","6-0805_M","93.98mm","47.498mm","93.98mm","47.498mm","92.98mm","47.498mm","T","0","1K","True"
"R7","6-0805_M","101.727mm","38.735mm","101.727mm","38.735mm","100.727mm","38.735mm","T","0","1K","True"
"R8","6-0805_M","114.046mm","50.673mm","114.062mm","50.673mm","113.062mm","50.673mm","T","0","1K","True"
"R9","6-0805_M","88.646mm","48.768mm","88.63mm","48.768mm","87.63mm","48.768mm","T","0","100M","True"
"R10","6-0805_M","95.377mm","56.515mm","95.377mm","56.515mm","94.377mm","56.515mm","T","0","100M","True"
"R11","6-0805_M","111.252mm","45.212mm","111.252mm","45.212mm","110.252mm","45.212mm","T","0","100M","True"
"R12","6-0805_M","96.52mm","42.545mm","96.52mm","42.545mm","95.52mm","42.545mm","T","0","100M","True"
"R13","6-0805_M","98.044mm","64.77mm","98.044mm","64.77mm","97.044mm","64.77mm","T","0","33","True"
"R14","6-0805_M","70.866mm","63.246mm","70.866mm","63.246mm","69.866mm","63.246mm","T","0","33","True"
"R15","6-0805_M","78.105mm","52.73mm","78.105mm","52.721mm","78.105mm","53.721mm","T","270","33","True"
"R16","6-0805_M","91.313mm","66.802mm","91.313mm","66.802mm","90.313mm","66.802mm","T","0","33","True"
"R17","6-0805_M","60.96mm","52.07mm","60.944mm","52.07mm","59.944mm","52.07mm","T","0","1K","True"
"R18","6-0805_M","60.554mm","47.498mm","60.563mm","47.498mm","59.563mm","47.498mm","T","0","1K","True"
"R19","6-0805_M","71.78mm","39.37mm","71.771mm","39.37mm","72.771mm","39.37mm","T","180","1K","True"
"R20","6-0805_M","83.947mm","65.659mm","83.947mm","65.659mm","82.947mm","65.659mm","T","0","1K","True"
"R21","6-0805_M","115.316mm","62.611mm","115.332mm","62.611mm","114.332mm","62.611mm","T","0","100M","True"
"R22","6-0805_M","86.106mm","61.087mm","86.122mm","61.087mm","85.122mm","61.087mm","T","0","100M","True"
"R23","6-0805_M","78.74mm","39.497mm","78.756mm","39.497mm","77.756mm","39.497mm","T","0","100M","True"
"R24","6-0805_M","108.204mm","58.801mm","108.204mm","58.801mm","107.204mm","58.801mm","T","0","100M","True"
"U1","D014_N","102.743mm","49.022mm","102.743mm","49.022mm","100.343mm","52.832mm","T","0","LM324ADR","True"
"U2","D014_N","70.358mm","49.657mm","70.345mm","49.657mm","67.945mm","53.467mm","T","0","LM324ADR","True"
"U3","M16A_N","88.544mm","51.562mm","88.532mm","51.562mm","90.932mm","56.007mm","B","180","CD4051BCM","True"
"P1_IN","HDR1X8","89.154mm","73.406mm","80.264mm","73.406mm","80.264mm","73.406mm","T","360","Header 8","False"
"P2","HDR1X6","123.952mm","46.609mm","123.952mm","40.259mm","123.952mm","40.259mm","T","90","Header 6","False"
